OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
33,5643,7021,S1781,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Jefferson Hwy,1,Mainline,Active,L728,2771-38,45.13042623,-93.40244083,2025-04-29
34,8401,7022,S1781,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Jefferson Hwy,2,Mainline,Active,L728,2771-38,45.13039182,-93.4024421,2025-04-29
35,6660,7023,S1782,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Revere Ln,1,Mainline,Active,L729,2771-38,45.13054005,-93.41149773,2025-04-29
36,5715,7024,S1782,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Revere Ln,2,Mainline,Active,L729,2771-38,45.13050817,-93.41149856,2025-04-29
37,8830,7026,S1783,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Zachary Ln,1,Mainline,Active,L730,2771-38,45.13054032,-93.42503708,2025-04-29
38,3488,7027,S1783,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Zachary Ln,2,Mainline,Active,L730,2771-38,45.13050841,-93.42503331,2025-04-29
39,4493,7029,S1784,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Hemlock Ln,1,Mainline,Active,L731,2771-38,45.13034995,-93.43438059,2025-04-29
40,6728,7030,S1784,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 WB/Hemlock Ln,2,Mainline,Active,L731,2771-38,45.13031485,-93.43438165,2025-04-29
41,18542,8215,S1786,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/W Broadway Ave,1,Mainline,Active,L3103,2771-117,45.12946765,-93.36603363,2025-04-29
42,18543,8216,S1786,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/W Broadway Ave,2,Mainline,Active,L3103,2771-117,45.12950497,-93.36603253,2025-04-29
43,18565,8224,S1787,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Regent Ave,1,Mainline,Active,L3106,2771-117,45.12555977,-93.34663084,2025-04-29
44,18564,8225,S1787,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Regent Ave,2,Mainline,Active,L3106,2771-117,45.12558939,-93.34661513,2025-04-29
45,18586,8233,S1788,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Noble Pkwy,1,Mainline,Active,L3111,2771-117,45.1232536,-93.32474391,2025-04-29
46,18587,8234,S1788,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Noble Pkwy,2,Mainline,Active,L3111,2771-117,45.12328955,-93.32474009,2025-04-29
47,18588,8235,S1788,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Noble Pkwy,3,Mainline,Active,L3111,2771-117,45.1233232,-93.32473703,2025-04-29
48,18603,8239,S1789,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.252,1,Mainline,Active,L3125,2771-117,45.1229619,-93.30482079,2025-04-29
49,18604,8240,S1789,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.252,2,Mainline,Active,L3125,2771-117,45.12298701,-93.30484466,2025-04-29
50,18606,8253,S1790,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.252,1,Mainline,Active,L3125,2771-117,45.12319847,-93.3049937,2025-04-29
51,18605,8254,S1790,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.252,2,Mainline,Active,L3125,2771-117,45.12316686,-93.30497298,2025-04-29
52,18591,8257,S1791,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Noble Pkwy,1,Auxiliary,Active,L3111,2771-117,45.1235947,-93.32470949,2025-04-29
53,18590,8258,S1791,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Noble Pkwy,2,Mainline,Active,L3111,2771-117,45.12356488,-93.32471332,2025-04-29
54,18589,8259,S1791,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Noble Pkwy,3,Mainline,Active,L3111,2771-117,45.12353352,-93.32471791,2025-04-29
55,18562,8267,S1792,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Regent Ave,1,Mainline,Active,L3106,2771-117,45.12582212,-93.34650738,2025-04-29
56,18563,8268,S1792,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Regent Ave,2,Mainline,Active,L3106,2771-117,45.12579157,-93.34653094,2025-04-29
57,18545,8276,S1793,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Hampshire Ave,1,Mainline,Active,L3103,2771-117,45.12976186,-93.36602704,2025-04-29
58,18544,8277,S1793,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Hampshire Ave,2,Mainline,Active,L3103,2771-117,45.12972124,-93.36602814,2025-04-29
59,18512,8283,S1794,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/W Broadway Ave,1,Auxiliary,Active,L3101,2771-117,45.13003123,-93.37772477,2025-04-29
60,18511,8284,S1794,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/W Broadway Ave,2,Mainline,Active,L3101,2771-117,45.12999378,-93.37772784,2025-04-29
61,18510,8285,S1794,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/W Broadway Ave,3,Mainline,Active,L3101,2771-117,45.12996186,-93.37772722,2025-04-29
62,7895,7013,S1795,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,U.S.169 SB/T.H.610,1,Mainline,Active,L726,2771-38,45.12850738,-93.39067195,2025-04-29
63,9706,7014,S1795,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,U.S.169 SB/T.H.610,2,Mainline,Active,L726,2771-38,45.12850746,-93.39062865,2025-04-29
