OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
123,4725,4062,S966,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/University Ave,1,Mainline,Active,L2456, ,45.14182108,-93.26192799,4/29/25
124,4853,4063,S966,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/University Ave,2,Mainline,Active,L2456, ,45.14185413,-93.26190507,4/29/25
125,9113,4103,S995,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/University Ave,1,Mainline,Active,L2456, ,45.14262649,-93.26129812,4/29/25
126,2519,4104,S995,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/University Ave,2,Mainline,Active,L2456, ,45.14259235,-93.26131323,4/29/25
127,6337,4180,S996,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,1,Mainline,Active,L2458, ,45.14285163,-93.27268899,4/29/25
128,8575,4181,S996,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,2,Mainline,Active,L2458, ,45.14282157,-93.27269174,4/29/25
129,7055,4182,S996,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,3,Mainline,Active,L2458, ,45.14278666,-93.27268107,4/29/25
130,6519,4164,S998,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 SB/T.H.610,1,Mainline,Active,L2458, ,45.14140064,-93.27036838,4/29/25
131,3545,4165,S998,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 SB/T.H.610,2,Mainline,Active,L2458, ,45.14140412,-93.27031329,4/29/25
132,3449,4175,S999,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 NB/T.H.610,1,Mainline,Active,L2458, ,45.14140967,-93.26998142,4/29/25
133,4641,4176,S999,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.47 NB/T.H.610,2,Mainline,Active,L2458, ,45.14141214,-93.2700232,4/29/25
134,18929,4193, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/East River Rd,0,Passage,Active,L3129,"2771-117,0217-16",45.13661931,-93.29396733,4/29/25
135,7542,7008, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/U.S.169,0,Exit,Active,L726,2771-38,45.1300465,-93.3969185,4/29/25
136,6899,7728, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Maple Grove Pkwy,0,Exit,Active,L1858,2771-37,45.137704,-93.466126,4/29/25
137,6818,7725, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,0,Merge,Active,L1856,2771-37,45.140933,-93.496552,4/29/25
138,10620,4193, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/East River Rd,0,Passage,Active,L3129, ,45.13660282,-93.29394721,4/29/25
139,6358,6996, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Zachary Ln,0,Queue,Active,L730,2771-38,45.12919701,-93.42143274,4/29/25
140,6141,7015, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/U.S.169,0,Bypass,Active,L726,2771-38,45.12942431,-93.38511779,4/29/25
141,5920,7010, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/U.S.169,0,Exit,Active,L726,2771-38,45.129882,-93.389485,4/29/25
142,5604,7025, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/Zachary Ln,0,Exit,Active,L730,2771-38,45.130616,-93.417837,4/29/25
143,5580,6997, ,Loop Detector,MnDOT,RTMC,Inplace,GPS Sub Meter,T.H.610 EB/Zachary Ln,0,Bypass,Active,L730,2771-38,45.12986557,-93.42043844,4/29/25
144,5278,7007, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/U.S.169,0,Exit,Active,L727,2771-38,45.130315,-93.392333,4/29/25
145,3383,4163, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.47,0,Merge,Active,L2458, ,45.142923,-93.275415,4/29/25
146,5050,7733, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/C.S.A.H.81,0,Exit,Active,L1861,2771-37,45.135718,-93.451934,4/29/25
147,4506,6995, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Zachary Ln,0,Exit,Active,L730,2771-38,45.130346,-93.421789,4/29/25
148,2087,4102, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/University Ave,0,Exit,Active,L2456, ,45.142229,-93.259926,4/29/25
149,4417,7005, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 WB/U.S.169,0,Exit,Active,L726,2771-38,45.130131,-93.384019,4/29/25
150,4416,7009, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/U.S.169,0,Queue,Active,L726,2771-38,45.12856628,-93.38821754,4/29/25
151,4088,7731, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/Maple Grove Pkwy,0,Exit,Active,L1858,2771-37,45.137535,-93.471994,4/29/25
152,7438,4177, ,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/T.H.47,0,Exit,Active,L2458, ,45.142511,-93.270378,4/29/25
153,3411,6990, ,Loop Detector,MnDOT,RTMC,Inplace,Hand Drawn,T.H.610 EB/Co Rd 81,0,Passage,Active,L731,2771-38,45.13037348,-93.43973932,4/29/25
